patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
highwave20,-1,2496.0,9.36,17124.65625,11441,100,6368.87833,7025.5,11.89,7.76855957023,20.128
highwave20,6,1984.0,8.25,11923.7625,10035,6,5677.4421,6154.2,9.83,7.75446071108,15.254
kill15,-1,2496.0,4.66,7070.94375,4292,58,2666.11118,2900.9,4.76,7.69325287356,17.167
ramp20,10,1984.0,10.25,14966.025,12459,10,7106.88352,7724.4,11.84,7.86297024621,15.227
highwave20,15,1472.0,9.22,13389.88125,11281,15,8613.07359,9314.7,11.81,7.83414359065,15.788
medwave20,20,2240.0,8.17,11807.46875,9929,19,5174.08473,5397.7,9.53,7.85943466023,15.465
highwave20,30,2496.0,9.34,14833.40625,11349,29,5447.18451,6085.5,11.89,7.83042933732,16.15
debug1,2,1472.0,1.86,159.41875,115,1,104.7295,110.9,1.86,7.82072413793,15.136
highwave20,6,3008.0,9.33,13727.81875,11302,5,4350.89554,4673.3,11.86,7.80109330503,15.217
medwave20,4,2496.0,7.11,10739.38125,8619,3,3938.03072,4405.9,7.54,7.63084667131,15.295
kill15,15,1216.0,4.54,4952.70625,4199,14,4008.63253,4170.7,4.7,7.86527628768,15.346
highwave20,15,1216.0,9.14,12780.5875,11284,14,10361.50071,10762.6,11.73,7.86707452646,15.906
medwave20,4,1472.0,4.59,6600.56875,5636,3,4240.00639,4591.7,4.79,7.7105805994,16.209
ramp20,2,1728.0,2.76,4036.33125,3373,1,2180.69634,2391.9,2.93,7.6798731476,15.275
debug1,-1,2240.0,5.33,3380.125,425,102,1531.76135,1545.2,5.34,7.94663567362,15.239
highwave20,8,2752.0,9.33,14744.96875,11313,8,4738.56352,5486.5,11.89,7.81177687483,15.251
kill15,30,2496.0,4.64,6102.0375,4243,29,2264.22232,2503.4,4.76,7.69116830524,15.163
medwave20,15,3008.0,8.2,12434.73125,9937,14,3958.83178,4233.1,9.53,7.96007205306,19.281
medwave20,40,1216.0,7.97,11814.55625,9876,39,9662.78023,9949.1,9.38,7.89209732728,18.176
med15,8,2496.0,9.15,10445.41875,8328,7,3831.84752,4285.3,9.49,7.90491937612,15.275
