patternName,concurrency,memorySize,averageRps,rpsScore,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
highwave20,5,1728.0,6.96,0.58,10180.0125,8487,4,5461.90146,6032.6,7.33,7.72497314804,15.211
highwave20,19,2496.0,9.36,0.96,14501.41875,11375,18,5345.74175,5949.3,11.89,7.83126042307,16.455
highwave20,1,2496.0,1.84,-0.23,2779.725,2248,0,1045.56015,1140.4,1.96,7.72760898577,15.234
ramp20,8,3008.0,10.3,0.93,15277.05625,12479,7,4840.68477,5200.7,11.86,7.91000400449,15.954
ramp20,6,2496.0,10.17,0.89,15274.8375,12334,5,5558.97408,6266.6,11.63,7.71275954291,15.343
kill15,12,3008.0,4.66,0.97,5502.23125,4250,11,1748.92769,1873.1,4.76,8.15117906595,15.171
med15,20,3008.0,9.2,0.91,10763.5875,8375,19,3435.27762,3664.2,9.53,7.8401350965,15.246
high15,2,1216.0,2.03,-0.15,2132.0375,1887,1,1718.94941,1795.4,2.11,7.67845815678,15.15
kill15,12,1728.0,4.61,0.96,5362.2,4505,11,2880.03122,3177.6,4.75,7.82651527901,16.488
ramp20,3,1728.0,4.12,-0.3,6025.725,5027,3,3232.85443,3570.8,4.43,7.68440755467,15.177
kill15,20,1984.0,4.63,0.96,5462.39375,4247,19,2631.48507,2819.3,4.75,7.79668659165,17.331
med15,13,2752.0,9.17,0.9,11397.15,8345,12,3595.37627,4240.8,9.51,7.76376032069,15.241
ramp20,6,1216.0,5.01,-0.3,8246.475,7030,5,6727.21053,6944.4,5.31,7.69041677328,15.191
med15,11,2240.0,9.15,0.9,9942.84375,8339,10,4300.45468,4545.3,9.51,7.90923404,16.347
highwave20,14,2496.0,9.37,0.96,14351.5125,11370,13,5281.63726,5887.8,11.89,7.81380409382,16.069
kill15,9,1472.0,4.59,0.96,5099.53125,4220,8,3296.94906,3547.5,4.75,7.72520837275,15.392
ramp20,4,2752.0,8.11,0.3,13086.78125,9844,4,4101.83339,4869.5,8.58,7.64603554021,15.293
med15,3,2496.0,5.59,-0.3,6285.825,5092,2,2285.97539,2578.8,5.81,7.74394248135,15.228
highwave20,16,2496.0,9.37,0.96,14429.75625,11376,15,5284.57069,5919.9,11.89,7.7719853393,15.213
med15,20,1472.0,9.04,0.86,10075.725,8306,19,6530.12039,7009.2,9.44,7.84293201201,16.485
med15,8,2752.0,9.16,0.9,11024.39375,8331,7,3503.9836,4102.1,9.53,7.84101199328,15.239
kill15,19,2752.0,4.66,0.97,6173.1875,4254,18,1974.93589,2297.0,4.76,7.6931622191,15.779
high15,6,1472.0,7.09,0.45,7679.9875,6508,6,4956.00845,5342.6,7.38,7.66470110531,15.296
high15,15,2240.0,11.39,0.97,12393.0625,10375,15,5351.97864,5665.4,11.89,7.78190952839,15.322
ramp20,13,2752.0,10.31,0.93,16821.0625,12505,12,5299.34103,6259.0,11.91,7.77867276504,15.467
kill15,17,1984.0,4.64,0.97,5378.8875,4246,16,2585.13294,2776.2,4.75,7.8136372595,15.318
kill15,20,2752.0,4.67,0.97,6147.65625,4263,21,2013.91781,2287.5,4.76,7.86464659197,15.349
high15,5,2752.0,9.85,0.78,12007.48125,8957,4,3756.17507,4467.9,10.29,7.5907120857,15.694
ramp20,9,2240.0,10.28,0.92,14299.6875,12474,8,6261.89555,6537.0,11.89,7.85644616247,15.296
med15,17,1472.0,9.13,0.89,8439.41875,8357,1606,5387.46057,5870.9,9.53,7.84345889792,15.257
kill15,8,1728.0,4.58,0.95,5251.5,4521,8,2787.6265,3112.0,4.73,7.83544601457,16.222
ramp20,11,2496.0,10.31,0.93,15697.25625,12503,10,5759.53813,6439.9,11.89,7.96974938064,15.966
kill15,15,1984.0,4.63,0.96,5299.25625,4235,14,2530.55348,2735.1,4.76,7.77370463639,15.262
med15,2,1728.0,2.66,-0.3,2921.0625,2438,1,1576.40032,1731.0,2.73,7.71169413694,15.159
kill15,10,2240.0,4.64,0.97,5035.625,4235,9,2213.5007,2302.0,4.75,7.73594886899,15.264
